Frame number,6894
First frame,1
Point frequency,200
Analog frequency,1000

Time,Force.Fx1,Force.Fy1,Force.Fz1,Force.Fx2,Force.Fy2,Force.Fz2,accel.x,accel.y,accel.z,accel.x,accel.y,accel.z
s,N,N,N,N,N,N,mm/s�,mm/s�,mm/s�,mm/s�,mm/s�,mm/s�
0,-38.4752,141.176,-487.42,3.12548e-24,-5.77557e-24,1.6125e-23,-1.21102,7.93634,-1.90367,-14.2156,29.7716,-0.982228
0.001,-43.6236,141.372,-476.813,5.86211e-24,-9.79051e-24,3.46339e-23,-1.25685,8.11362,-2.04598,-14.229,29.4603,-0.994111
0.002,-49.2162,141.631,-463.704,9.40627e-24,-1.47434e-23,5.96442e-23,-1.32216,8.31203,-2.18962,-14.242,29.0816,-1.0204
0.003,-54.6478,141.884,-448.542,1.362e-23,-2.03006e-23,9.07758e-23,-1.40712,8.51557,-2.31613,-14.249,28.649,-1.06555
0.004,-59.2184,141.965,-431.999,1.81246e-23,-2.57564e-23,1.26099e-22,-1.50879,8.70556,-2.40798,-14.2398,28.1813,-1.13194
0.005,-62.3031,141.599,-414.807,2.22008e-23,-2.99046e-23,1.61386e-22,-1.62157,8.86401,-2.4531,-14.1993,27.7008,-1.21657
0.006,-63.4778,140.411,-397.565,2.46869e-23,-3.09183e-23,1.89295e-22,-1.73836,8.97685,-2.44758,-14.1086,27.2307,-1.3073
0.007,-62.5494,138.003,-380.615,2.38916e-23,-2.627e-23,1.98584e-22,-1.85216,9.03614,-2.39635,-13.9472,26.7945,-1.38139
0.008,-59.5169,134.109,-364.012,1.75541e-23,-1.27379e-23,1.73559e-22,-1.95733,9.04132,-2.31256,-13.6982,26.4138,-1.40897
0.009,-54.5273,128.728,-347.593,2.8913e-24,1.34397e-23,9.40444e-23,-2.05028,8.9992,-2.21629,-13.3527,26.1072,-1.36081
0.01,-47.8642,122.158,-331.115,-2.32109e-23,5.61828e-23,-6.37553e-23,-2.12934,8.92313,-2.13216,-12.9136,25.8897,-1.21623
0.011,-39.9507,114.91,-314.432,-6.37968e-23,1.18875e-22,-3.24992e-22,-2.194,8.83107,-2.08532,-12.3964,25.772,-0.966168
